func-decl, FLOAT VOID BOOLEAN INT, type identifier para-list compound-stmt
var-decl, FLOAT VOID BOOLEAN INT, type init-declarator-list SEMICOLON
init-declarator-list, IDENTIFIER, init-declarator init-declarator-list-t
init-declarator-list-t, COMMA, COMMA init-declarator init-declarator-list-t
init-declarator-list-t, SEMICOLON $, EPSILON
init-declarator, IDENTIFIER, declarator init-declarator-t
init-declarator-t, ASSIGN, ASSIGN initialiser
init-declarator-t, SEMICOLON $ COMMA, EPSILON
declarator, IDENTIFIER, identifier declarator-t
declarator-t, LEFT_BRACKET, array-declarator
declarator-t, SEMICOLON RIGHT_PAREN ASSIGN $ COMMA, EPSILON
array-declarator, LEFT_BRACKET, LEFT_BRACKET array-declarator-int RIGHT_BRACKET
array-declarator-int, INTLITERAL, INTLITERAL
array-declarator-int, $ RIGHT_BRACKET, EPSILON
initialiser, INTLITERAL IDENTIFIER BOOLEANLITERAL PLUS STRINGLITERAL FLOATLITERAL NOT MINUS LEFT_PAREN, expr
initialiser, LEFT_BRACE, LEFT_BRACE expr initialiser-t RIGHT_BRACE
initialiser-t, COMMA, COMMA expr initialiser-t
initialiser-t, $ RIGHT_BRACE, EPSILON
type, VOID, VOID
type, BOOLEAN, BOOLEAN
type, INT, INT
type, FLOAT, FLOAT
identifier, IDENTIFIER, IDENTIFIER
compound-stmt, LEFT_BRACE, LEFT_BRACE var-decl-list stmt-list RIGHT_BRACE
var-decl-list, FLOAT VOID BOOLEAN INT, var-decl var-decl-list
var-decl-list, SEMICOLON INTLITERAL RETURN IDENTIFIER BOOLEANLITERAL $ PLUS CONTINUE MINUS LEFT_PAREN BREAK WHILE ELSE FLOATLITERAL IF NOT LEFT_BRACE STRINGLITERAL FOR RIGHT_BRACE, EPSILON
stmt-list, SEMICOLON INTLITERAL RETURN IDENTIFIER BOOLEANLITERAL PLUS CONTINUE MINUS LEFT_PAREN BREAK WHILE FLOATLITERAL IF NOT LEFT_BRACE STRINGLITERAL FOR, stmt stmt-list
stmt-list, $ RIGHT_BRACE, EPSILON
stmt, LEFT_BRACE, compound-stmt
stmt, IF, if-stmt
stmt, FOR, for-stmt
stmt, WHILE, while-stmt
stmt, BREAK, break-stmt
stmt, CONTINUE, continue-stmt
stmt, RETURN, return-stmt
